"filename", "language", "Dart", "Properties", "Groovy", "XML", "Kotlin", "YAML", "ASCII Property list", "Swift", "C++", "JSON", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/settings.gradle", "Groovy", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Flutter/AppFrameworkInfo.plist", "ASCII Property list", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "ASCII Property list", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "ASCII Property list", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 123
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/GoogleService-Info.plist", "ASCII Property list", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 34
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Info.plist", "ASCII Property list", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/iAuth_service.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/iSearch_service.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/ifirestore_service.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 34
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/main.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/message.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 46
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/room.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 48
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/tag.dart", "Dart", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/user.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 112
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/auth_provider.dart", "Dart", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 151
