"filename", "language", "YAML", "Dart", "JSON", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/app_navigator.dart", "Dart", 0, 36, 0, 0, 0, 3, 39
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/constants.dart", "Dart", 0, 36, 0, 0, 13, 3, 52
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/custom_exceptions.dart", "Dart", 0, 6, 0, 0, 13, 4, 23
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/enums.dart", "Dart", 0, 31, 0, 0, 14, 6, 51
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/extentions.dart", "Dart", 0, 76, 0, 0, 0, 10, 86
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/fading_route.dart", "Dart", 0, 16, 0, 0, 13, 5, 34
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/general_functions.dart", "Dart", 0, 45, 0, 0, 15, 12, 72
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/theme_widget.dart", "Dart", 0, 180, 0, 0, 1, 22, 203
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/about_screen.dart", "Dart", 0, 59, 0, 0, 14, 4, 77
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/archived_contacts_list.dart", "Dart", 0, 143, 0, 0, 13, 5, 161
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/blocked_contacts_list.dart", "Dart", 0, 229, 0, 0, 14, 10, 253
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/chats_screen.dart", "Dart", 0, 153, 0, 0, 0, 15, 168
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/home_screen.dart", "Dart", 0, 99, 0, 0, 0, 12, 111
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/login_screen.dart", "Dart", 0, 174, 0, 0, 0, 11, 185
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/nickname_screen.dart", "Dart", 0, 410, 0, 0, 13, 21, 444
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/room_screen.dart", "Dart", 0, 272, 0, 0, 0, 13, 285
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/settings_screen.dart", "Dart", 0, 186, 0, 0, 2, 5, 193
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/splash_screen.dart", "Dart", 0, 55, 0, 0, 28, 5, 88
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/tags_screen.dart", "Dart", 0, 508, 0, 0, 0, 29, 537
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/welcome_Screen.dart", "Dart", 0, 46, 0, 0, 13, 5, 64
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/age.dart", "Dart", 0, 0, 0, 0, 289, 29, 318
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/animated_widgets.dart", "Dart", 0, 110, 0, 0, 1, 21, 132
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_bubble.dart", "Dart", 0, 217, 0, 0, 13, 11, 241
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_header.dart", "Dart", 0, 228, 0, 0, 0, 9, 237
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_message_field.dart", "Dart", 0, 191, 0, 0, 14, 24, 229
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/connectivity_state_notificaiton.dart", "Dart", 0, 7, 0, 0, 13, 3, 23
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/connectrivity_widget.dart", "Dart", 0, 0, 0, 0, 14, 5, 19
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/country_widget.dart", "Dart", 0, 0, 0, 0, 541, 32, 573
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/cta_button.dart", "Dart", 0, 40, 0, 0, 0, 5, 45
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_expansion_tile.dart", "Dart", 0, 186, 0, 0, 87, 33, 306
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_image.dart", "Dart", 0, 0, 0, 0, 98, 14, 112
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_route.dart", "Dart", 0, 17, 0, 0, 13, 5, 35
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_tab_bar.dart", "Dart", 0, 121, 0, 0, 2, 15, 138
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_text_field.dart", "Dart", 0, 100, 0, 0, 0, 13, 113
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/error_notification.dart", "Dart", 0, 72, 0, 0, 0, 5, 77
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/error_widget.dart", "Dart", 0, 67, 0, 0, 13, 7, 87
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/gender.dart", "Dart", 0, 0, 0, 0, 134, 10, 144
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/keyboard_hider.dart", "Dart", 0, 17, 0, 0, 1, 4, 22
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/loading_widget.dart", "Dart", 0, 34, 0, 0, 0, 3, 37
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/message_reply.dart", "Dart", 0, 102, 0, 0, 26, 15, 143
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/onboarding_title_text.dart", "Dart", 0, 37, 0, 0, 0, 3, 40
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/password_field.dart", "Dart", 0, 102, 0, 0, 0, 10, 112
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/progress_indicator.dart", "Dart", 0, 50, 0, 0, 13, 4, 67
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/rewind_button.dart", "Dart", 0, 27, 0, 0, 0, 3, 30
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/search_field.dart", "Dart", 0, 78, 0, 0, 1, 9, 88
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/settings_tile.dart", "Dart", 0, 36, 0, 0, 13, 5, 54
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/shaded_container.dart", "Dart", 0, 31, 0, 0, 14, 4, 49
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/step_counter_bar.dart", "Dart", 0, 125, 0, 0, 2, 11, 138
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/suggestion_header.dart", "Dart", 0, 101, 0, 0, 3, 6, 110
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/tags_row.dart", "Dart", 0, 127, 0, 0, 0, 12, 139
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/titled_app_bar.dart", "Dart", 0, 94, 0, 0, 0, 6, 100
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/top_padding.dart", "Dart", 0, 18, 0, 0, 13, 5, 36
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/typing_indicator.dart", "Dart", 0, 98, 0, 0, 13, 15, 126
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/pubspec.yaml", "YAML", 62, 0, 0, 0, 17, 21, 100
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/test/widget_test.dart", "Dart", 0, 0, 0, 0, 24, 7, 31
"Total", "-", 63, 7803, 1232, 17, 1888, 1166, 12169
