"filename", "language", "Dart", "Properties", "YAML", "Markdown", "Groovy", "XML", "ASCII Property list", "Kotlin", "JSON", "Swift", "C++", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/errors_provider.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 86
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/loading_provider.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/messages_provider.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/name_generator.dart", "Dart", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 182
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/suggestions_provider.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/services.dart/authentication.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/services.dart/firestore.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 58
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/dummy_data.dart", "Dart", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 85
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/extrentions.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/local_storage.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/theme_widget.dart", "Dart", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 235
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/chat_screen.dart", "Dart", 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 195
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/chats_screen.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/home_screen.dart", "Dart", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/login.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 140
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/name_generator_screen.dart", "Dart", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 110
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/settings_screen.dart", "Dart", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 89
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/tags_screen.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/animated_widgets.dart", "Dart", 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 270
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_header.dart", "Dart", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 98
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/cta_button.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_expansion_tile.dart", "Dart", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 33, 306
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_tab_bar.dart", "Dart", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 136
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_text_field.dart", "Dart", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 91
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/error_notification.dart", "Dart", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 78
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/keyboard_hider.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/loading_widget.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/password_field.dart", "Dart", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 112
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/rewind_button.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/search_field.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/suggestion_header.dart", "Dart", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 96
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/tags_row.dart", "Dart", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 101
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/titled_app_bar.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 70
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/pubspec.yaml", "YAML", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 17, 19, 68
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/test/widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 3046, 8, 32, 13, 84, 113, 121, 4, 145, 12, 1, 184, 468, 4231
