"filename", "language", "Dart", "YAML", "JSON", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/general_functions.dart", "Dart", 45, 0, 0, 0, 15, 12, 72
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/theme_widget.dart", "Dart", 180, 0, 0, 0, 1, 22, 203
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/about_screen.dart", "Dart", 59, 0, 0, 0, 14, 4, 77
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/archived_contacts_list.dart", "Dart", 143, 0, 0, 0, 13, 5, 161
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/blocked_contacts_list.dart", "Dart", 229, 0, 0, 0, 14, 10, 253
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/chats_screen.dart", "Dart", 153, 0, 0, 0, 0, 15, 168
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/home_screen.dart", "Dart", 99, 0, 0, 0, 0, 12, 111
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/login_screen.dart", "Dart", 174, 0, 0, 0, 0, 11, 185
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/nickname_screen.dart", "Dart", 413, 0, 0, 0, 13, 24, 450
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/room_screen.dart", "Dart", 272, 0, 0, 0, 0, 13, 285
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/settings_screen.dart", "Dart", 186, 0, 0, 0, 2, 5, 193
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/splash_screen.dart", "Dart", 55, 0, 0, 0, 28, 5, 88
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/tags_screen.dart", "Dart", 508, 0, 0, 0, 0, 29, 537
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/welcome_Screen.dart", "Dart", 46, 0, 0, 0, 13, 5, 64
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/age.dart", "Dart", 0, 0, 0, 0, 289, 29, 318
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/animated_widgets.dart", "Dart", 110, 0, 0, 0, 1, 21, 132
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_bubble.dart", "Dart", 217, 0, 0, 0, 13, 11, 241
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_header.dart", "Dart", 228, 0, 0, 0, 0, 9, 237
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_message_field.dart", "Dart", 191, 0, 0, 0, 14, 24, 229
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/connectivity_state_notificaiton.dart", "Dart", 7, 0, 0, 0, 13, 3, 23
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/connectrivity_widget.dart", "Dart", 0, 0, 0, 0, 14, 5, 19
