"filename", "language", "Dart", "YAML", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/keyboard_hider.dart", "Dart", 17, 0, 0, 1, 4, 22
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/loading_widget.dart", "Dart", 29, 0, 0, 0, 2, 31
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/password_field.dart", "Dart", 102, 0, 0, 0, 10, 112
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/rewind_button.dart", "Dart", 27, 0, 0, 0, 3, 30
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/search_field.dart", "Dart", 69, 0, 0, 0, 8, 77
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/shaded_container.dart", "Dart", 29, 0, 0, 13, 4, 46
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/suggestion_header.dart", "Dart", 116, 0, 0, 3, 6, 125
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/tags_row.dart", "Dart", 127, 0, 0, 0, 12, 139
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/titled_app_bar.dart", "Dart", 61, 0, 0, 0, 6, 67
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/pubspec.yaml", "YAML", 0, 35, 0, 17, 19, 71
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/test/widget_test.dart", "Dart", 0, 0, 0, 24, 7, 31
"Total", "-", 4683, 35, 2, 243, 656, 5619
